Date,Adj Close,differenced_trasnformation_demand,differenced_demand_filled,differenced_inv_transformation_demand,date,year,month,week,day,dayofweek,week_of_month,is_weekend
2010-02-23,6.04282,-0.10303400000000007,-0.10303400000000007,6.04282,2010-02-23,2010,2,8,23,1,4,0
2010-02-24,6.153214,0.11039400000000033,0.11039400000000033,6.153214,2010-02-24,2010,2,8,24,2,4,0
2010-02-25,6.194304,0.04108999999999963,0.04108999999999963,6.194304,2010-02-25,2010,2,8,25,3,4,0
2010-02-26,6.274645,0.08034099999999977,0.08034099999999977,6.274645,2010-02-26,2010,2,8,26,4,4,0
2010-03-01,6.408653,0.13400800000000057,0.13400800000000057,6.408653,2010-03-01,2010,3,9,1,0,1,0
2010-03-02,6.404358,-0.004294999999999938,-0.004294999999999938,6.404358,2010-03-02,2010,3,9,2,1,1,0
2010-03-03,6.4190760000000004,0.014718000000000231,0.014718000000000231,6.4190760000000004,2010-03-03,2010,3,9,3,2,1,0
2010-03-04,6.4613949999999996,0.04231899999999911,0.04231899999999911,6.4613949999999996,2010-03-04,2010,3,9,4,3,1,0
2010-03-05,6.714075,0.2526800000000007,0.2526800000000007,6.714075,2010-03-05,2010,3,9,5,4,1,0
2010-03-08,6.71806,0.003985000000000127,0.003985000000000127,6.71806,2010-03-08,2010,3,10,8,0,2,0
2010-03-09,6.838881,0.1208209999999994,0.1208209999999994,6.838881,2010-03-09,2010,3,10,9,1,2,0
2010-03-10,6.89469,0.055809,0.055809,6.89469,2010-03-10,2010,3,10,10,2,2,0
2010-03-11,6.9149270000000005,0.020237000000000727,0.020237000000000727,6.9149270000000005,2010-03-11,2010,3,10,11,3,2,0
2010-03-12,6.94866,0.03373299999999979,0.03373299999999979,6.94866,2010-03-12,2010,3,10,12,4,2,0
2010-03-15,6.864025999999999,-0.08463400000000121,-0.08463400000000121,6.864025999999999,2010-03-15,2010,3,11,15,0,3,0
2010-03-16,6.882728999999999,0.018703000000000358,0.018703000000000358,6.882728999999999,2010-03-16,2010,3,11,16,1,3,0
2010-03-17,6.872611999999999,-0.010117000000000154,-0.010117000000000154,6.872611999999999,2010-03-17,2010,3,11,17,2,3,0
2010-03-18,6.888864999999999,0.01625299999999985,0.01625299999999985,6.888864999999999,2010-03-18,2010,3,11,18,3,3,0
2010-03-19,6.8152669999999995,-0.07359799999999961,-0.07359799999999961,6.8152669999999995,2010-03-19,2010,3,11,19,4,3,0
2010-03-22,6.891928999999999,0.07666199999999979,0.07666199999999979,6.891928999999999,2010-03-22,2010,3,12,22,0,4,0
2010-03-23,7.002631,0.11070200000000074,0.11070200000000074,7.002631,2010-03-23,2010,3,12,23,1,4,0
2010-03-24,7.033603,0.03097200000000022,0.03097200000000022,7.033603,2010-03-24,2010,3,12,24,2,4,0
2010-03-25,6.9501919999999995,-0.08341100000000079,-0.08341100000000079,6.9501919999999995,2010-03-25,2010,3,12,25,3,4,0
2010-03-26,7.080518,0.13032600000000016,0.13032600000000016,7.080518,2010-03-26,2010,3,12,26,4,4,0
2010-03-29,7.126208999999999,0.045690999999999704,0.045690999999999704,7.126208999999999,2010-03-29,2010,3,13,29,0,5,0
2010-03-30,7.232309,0.10610000000000053,0.10610000000000053,7.232309,2010-03-30,2010,3,13,30,1,5,0
2010-03-31,7.206244,-0.026065000000000005,-0.026065000000000005,7.206244,2010-03-31,2010,3,13,31,2,5,0
2010-04-01,7.235989,0.029745000000000132,0.029745000000000132,7.235989,2010-04-01,2010,4,13,1,3,1,0
2010-04-05,7.313263,0.07727400000000006,0.07727400000000006,7.313263,2010-04-05,2010,4,14,5,0,1,0
2010-04-06,7.345464,0.0322009999999997,0.0322009999999997,7.345464,2010-04-06,2010,4,14,6,1,1,0
2010-04-07,7.377967999999999,0.03250399999999942,0.03250399999999942,7.377967999999999,2010-04-07,2010,4,14,7,2,1,0
2010-04-08,7.3580369999999995,-0.0199309999999997,-0.0199309999999997,7.3580369999999995,2010-04-08,2010,4,14,8,3,2,0
2010-04-09,7.4144570000000005,0.056420000000001025,0.056420000000001025,7.4144570000000005,2010-04-09,2010,4,14,9,4,2,0
2010-04-12,7.429792,0.015334999999999432,0.015334999999999432,7.429792,2010-04-12,2010,4,15,12,0,2,0
2010-04-13,7.4340850000000005,0.004293000000000546,0.004293000000000546,7.4340850000000005,2010-04-13,2010,4,15,13,1,2,0
2010-04-14,7.534053,0.09996799999999961,0.09996799999999961,7.534053,2010-04-14,2010,4,15,14,2,2,0
2010-04-15,7.6330990000000005,0.09904600000000041,0.09904600000000041,7.6330990000000005,2010-04-15,2010,4,15,15,3,3,0
2010-04-16,7.586488,-0.0466110000000004,-0.0466110000000004,7.586488,2010-04-16,2010,4,15,16,4,3,0
2010-04-19,7.57637,-0.010118000000000293,-0.010118000000000293,7.57637,2010-04-19,2010,4,16,19,0,3,0
2010-04-20,7.500319999999999,-0.0760500000000004,-0.0760500000000004,7.500319999999999,2010-04-20,2010,4,16,20,1,3,0
2010-04-21,7.948948,0.44862800000000025,0.44862800000000025,7.948948,2010-04-21,2010,4,16,21,2,3,0
2010-04-22,8.171266000000001,0.22231800000000135,0.22231800000000135,8.171266000000001,2010-04-22,2010,4,16,22,3,4,0
2010-04-23,8.304967,0.13370099999999852,0.13370099999999852,8.304967,2010-04-23,2010,4,16,23,4,4,0
2010-04-26,8.264182,-0.04078499999999963,-0.04078499999999963,8.264182,2010-04-26,2010,4,17,26,0,4,0
2010-04-27,8.035423,-0.22875900000000016,-0.22875900000000016,8.035423,2010-04-27,2010,4,17,27,1,4,0
2010-04-28,8.021932000000001,-0.013490999999998365,-0.013490999999998365,8.021932000000001,2010-04-28,2010,4,17,28,2,4,0
2010-04-29,8.237813000000001,0.21588099999999955,0.21588099999999955,8.237813000000001,2010-04-29,2010,4,17,29,3,5,0
2010-04-30,8.006289,-0.23152400000000029,-0.23152400000000029,8.006289,2010-04-30,2010,4,17,30,4,5,0
2010-05-03,8.167588,0.16129899999999964,0.16129899999999964,8.167588,2010-05-03,2010,5,18,3,0,1,0
2010-05-04,7.932391,-0.23519700000000032,-0.23519700000000032,7.932391,2010-05-04,2010,5,18,4,1,1,0
2010-05-05,7.8499,-0.08249100000000009,-0.08249100000000009,7.8499,2010-05-05,2010,5,18,5,2,1,0
2010-05-06,7.551224,-0.2986759999999995,-0.2986759999999995,7.551224,2010-05-06,2010,5,18,6,3,1,0
2010-05-07,7.232614999999999,-0.31860900000000125,-0.31860900000000125,7.232614999999999,2010-05-07,2010,5,18,7,4,1,0
2010-05-10,7.78857,0.5559550000000009,0.5559550000000009,7.78857,2010-05-10,2010,5,19,10,0,2,0
2010-05-11,7.866153999999999,0.07758399999999899,0.07758399999999899,7.866153999999999,2010-05-11,2010,5,19,11,1,2,0
2010-05-12,8.036957000000001,0.17080300000000204,0.17080300000000204,8.036957000000001,2010-05-12,2010,5,19,12,2,2,0
2010-05-13,7.922578,-0.11437900000000134,-0.11437900000000134,7.922578,2010-05-13,2010,5,19,13,3,2,0
2010-05-14,7.783359,-0.13921899999999976,-0.13921899999999976,7.783359,2010-05-14,2010,5,19,14,4,2,0
2010-05-17,7.795623,0.012264000000000053,0.012264000000000053,7.795623,2010-05-17,2010,5,20,17,0,3,0
2010-05-18,7.738589,-0.05703399999999981,-0.05703399999999981,7.738589,2010-05-18,2010,5,20,18,1,3,0
2010-05-19,7.615311999999999,-0.12327700000000075,-0.12327700000000075,7.615311999999999,2010-05-19,2010,5,20,19,2,3,0
2010-05-20,7.2908800000000005,-0.32443199999999894,-0.32443199999999894,7.2908800000000005,2010-05-20,2010,5,20,20,3,3,0
2010-05-21,7.43071,0.1398299999999999,0.1398299999999999,7.43071,2010-05-21,2010,5,20,21,4,3,0
2010-05-24,7.566863000000001,0.1361530000000002,0.1361530000000002,7.566863000000001,2010-05-24,2010,5,21,24,0,4,0
2010-05-25,7.519641,-0.04722200000000054,-0.04722200000000054,7.519641,2010-05-25,2010,5,21,25,1,4,0
2010-05-26,7.485603,-0.03403799999999979,-0.03403799999999979,7.485603,2010-05-26,2010,5,21,26,2,4,0
2010-05-27,7.768944,0.28334100000000007,0.28334100000000007,7.768944,2010-05-27,2010,5,21,27,3,4,0
2010-05-28,7.877192999999999,0.10824899999999893,0.10824899999999893,7.877192999999999,2010-05-28,2010,5,21,28,4,4,0
2010-06-01,7.998319,0.12112600000000118,0.12112600000000118,7.998319,2010-06-01,2010,6,22,1,1,1,0
2010-06-02,8.093991,0.09567200000000042,0.09567200000000042,8.093991,2010-06-02,2010,6,22,2,2,1,0
2010-06-03,8.068539999999999,-0.02545100000000211,-0.02545100000000211,8.068539999999999,2010-06-03,2010,6,22,3,3,1,0
2010-06-04,7.848981,-0.2195589999999985,-0.2195589999999985,7.848981,2010-06-04,2010,6,22,4,4,1,0
2010-06-07,7.6950460000000005,-0.1539349999999997,-0.1539349999999997,7.6950460000000005,2010-06-07,2010,6,23,7,0,1,0
2010-06-08,7.6456729999999995,-0.049373000000001,-0.049373000000001,7.6456729999999995,2010-06-08,2010,6,23,8,1,2,0
2010-06-09,7.457694999999999,-0.1879780000000002,-0.1879780000000002,7.457694999999999,2010-06-09,2010,6,23,9,2,2,0
2010-06-10,7.681857000000001,0.22416200000000153,0.22416200000000153,7.681857000000001,2010-06-10,2010,6,23,10,3,2,0
2010-06-11,7.773853,0.09199599999999908,0.09199599999999908,7.773853,2010-06-11,2010,6,23,11,4,2,0
2010-06-14,7.7974630000000005,0.023610000000000575,0.023610000000000575,7.7974630000000005,2010-06-14,2010,6,24,14,0,2,0
2010-06-15,7.963361,0.16589799999999943,0.16589799999999943,7.963361,2010-06-15,2010,6,24,15,1,3,0
2010-06-16,8.195189,0.23182799999999926,0.23182799999999926,8.195189,2010-06-16,2010,6,24,16,2,3,0
2010-06-17,8.336859,0.1416700000000013,0.1416700000000013,8.336859,2010-06-17,2010,6,24,17,3,3,0
2010-06-18,8.40432,0.06746099999999977,0.06746099999999977,8.40432,2010-06-18,2010,6,24,18,4,3,0
2010-06-21,8.28473,-0.11959000000000053,-0.11959000000000053,8.28473,2010-06-21,2010,6,25,21,0,3,0
2010-06-22,8.397575,0.11284500000000008,0.11284500000000008,8.397575,2010-06-22,2010,6,25,22,1,4,0
2010-06-23,8.309262,-0.08831299999999942,-0.08831299999999942,8.309262,2010-06-23,2010,6,25,23,2,4,0
2010-06-24,8.248852000000001,-0.06040999999999919,-0.06040999999999919,8.248852000000001,2010-06-24,2010,6,25,24,3,4,0
2010-06-25,8.17832,-0.07053200000000182,-0.07053200000000182,8.17832,2010-06-25,2010,6,25,25,4,4,0
2010-06-28,8.227386,0.04906599999999983,0.04906599999999983,8.227386,2010-06-28,2010,6,26,28,0,4,0
2010-06-29,7.855419,-0.3719669999999988,-0.3719669999999988,7.855419,2010-06-29,2010,6,26,29,1,5,0
2010-06-30,7.713133999999999,-0.1422850000000011,-0.1422850000000011,7.713133999999999,2010-06-30,2010,6,26,30,2,5,0
2010-07-01,7.619606,-0.09352799999999917,-0.09352799999999917,7.619606,2010-07-01,2010,7,26,1,3,1,0
2010-07-02,7.572386,-0.04722000000000026,-0.04722000000000026,7.572386,2010-07-02,2010,7,26,2,4,1,0
2010-07-06,7.624207000000001,0.05182100000000123,0.05182100000000123,7.624207000000001,2010-07-06,2010,7,27,6,1,1,0
2010-07-07,7.93208,0.30787299999999895,0.30787299999999895,7.93208,2010-07-07,2010,7,27,7,2,1,0
2010-07-08,7.914299000000001,-0.01778099999999938,-0.01778099999999938,7.914299000000001,2010-07-08,2010,7,27,8,3,2,0
2010-07-09,7.961214,0.046914999999999374,0.046914999999999374,7.961214,2010-07-09,2010,7,27,9,4,2,0
2010-07-12,7.889767,-0.07144700000000004,-0.07144700000000004,7.889767,2010-07-12,2010,7,28,12,0,2,0
2010-07-13,7.721412,-0.16835500000000003,-0.16835500000000003,7.721412,2010-07-13,2010,7,28,13,1,2,0
2010-07-14,7.749934,0.028521999999999714,0.028521999999999714,7.749934,2010-07-14,2010,7,28,14,2,2,0
